Guideline,Section,Topic,Control identifier,Control description
Guidelines for Cyber Security Roles,Chief Information Security Officer,Providing cyber security leadership and guidance,0714,A CISO is appointed to provide cyber security leadership and guidance for their organisation.
Guidelines for Cyber Security Roles,Chief Information Security Officer,Overseeing the cyber security program,1478,"The CISO oversees their organisation’s cyber security program and ensures their organisation’s compliance with cyber security policy, standards, regulations and legislation."
Guidelines for Cyber Security Roles,Chief Information Security Officer,Overseeing the cyber security program,1617,The CISO regularly reviews and updates their organisation’s cyber security program to ensure its relevance in addressing cyber threats and harnessing business and cyber security opportunities.
Guidelines for Cyber Security Roles,Chief Information Security Officer,Overseeing the cyber security program,0724,The CISO implements cyber security measurement metrics and key performance indicators for their organisation.
Guidelines for Cyber Security Roles,Chief Information Security Officer,Coordinating cyber security,0725,"The CISO coordinates cyber security and business alignment through a cyber security steering committee or advisory board, comprising of key cyber security and business executives, which meets formally and on a regular basis."
Guidelines for Cyber Security Roles,Chief Information Security Officer,Coordinating cyber security,0726,The CISO coordinates security risk management activities between cyber security and business teams.
Guidelines for Cyber Security Roles,Chief Information Security Officer,Reporting on cyber security,0718,The CISO reports directly to their organisation’s senior executive or Board on cyber security matters.
Guidelines for Cyber Security Roles,Chief Information Security Officer,Overseeing incident response activities,0733,The CISO is fully aware of all cyber security incidents within their organisation.
Guidelines for Cyber Security Roles,Chief Information Security Officer,Overseeing incident response activities,1618,The CISO oversees their organisation’s response to cyber security incidents.
Guidelines for Cyber Security Roles,Chief Information Security Officer,Contributing to business continuity and disaster recovery planning,0734,The CISO contributes to the development and maintenance of business continuity and disaster recovery plans for their organisation to ensure that business-critical services are supported appropriately in the event of a disaster.
Guidelines for Cyber Security Roles,Chief Information Security Officer,Developing a cyber security communications strategy,0720,"The CISO develops, implements and maintains a cyber security communications strategy for their organisation."
Guidelines for Cyber Security Roles,Chief Information Security Officer,Working with suppliers,0731,The CISO oversees cyber supply chain risk management activities for their organisation.
Guidelines for Cyber Security Roles,Chief Information Security Officer,Receiving and managing a dedicated cyber security budget,0732,The CISO receives and manages a dedicated cyber security budget for their organisation.
