control,question,answer
ISM-0027,	What are some ways in which system owners can protect systems and their resources?,"	System owners can ensure they have adequate protection by implementing appropriate controls such as access control, data encryption, auditing etc ISM-0027"
ISM-0039,What are some key components of a cybersecurity strategy?,The main component of any cybersecurity strategy is having strong policies and procedures for data protection. ISM-0039
ISM-0041,What are some examples of systems with a system security plan?,"Examples include computer networks, software applications, websites, databases, etc ISM-0041"
ISM-0041,	What are some examples of system specific security documents?,Examples include: ISM-0041
ISM-0042,"	What should an organization do to develop, implement and maintain system administration processes and procedures?",An organization should ensure that all system administration processes and procedures are documented in detail and followed by all employees involved with system administration tasks. ISM-0042
ISM-0042,What are some examples of system administration processes? ,"Examples include configuration management, change control, backup/recovery, security monitoring, etc - ISM-0042"
ISM-0042,What are some examples of system administration processes? ,"Examples include configuration management, change control, backup/recovery, security monitoring, incident handling, etc - ISM-0042"
ISM-0042,What are some examples of system administration processes? ,"Examples include configuring servers, managing user accounts, maintaining security policies, monitoring performance, etc - ISM-0042"
ISM-0047,What are the responsibilities of the CISO and SAO?,"The Chief Information Security Officer (CISO) approves organisational-level security documents, such as policies or standards, whereas the System Authorizing Officer (SAO) approves system-specific security documents, such as procedures or guidelines ISM-0047"
ISM-0047,	What are some examples of organisational level security documents?,Examples include: ISM-0047
ISM-0072,What security measures should be taken when outsourcing?,"When outsourcing services, it's important to have clear documentation about what security controls need to be implemented by your provider. These include ensuring that all data remains securely stored and protected from unauthorized access or modification, as well as having appropriate backup procedures in place so you can recover lost data if necessary. ISM-0072"
ISM-0100,	What does ISM stand for in this context?,The acronym 'ISM' stands for Information Security Management ISM-0100
ISM-0109,What does timely mean? ,"Timely means occurring or done at the right time, without delay - ISM-0109"
ISM-0120,How does one identify if there are any vulnerabilities in the system?,One way to identify potential vulnerabilities in the system is by using penetration testing techniques such as scanning or exploitation ISM-0120
ISM-0120,What are some key indicators of compromise? ,"Key indicators of compromise include unusual network traffic, unauthorized user activity, suspicious files or processes on computers, and other anomalies - ISM-0120"
ISM-0123,What should be done when cybersecurity incident occurs?,"When a cybersecurity incident occurs, it must be reported immediately to the organization's chief information security officer (CISO) or delegate for investigation and remediation ISM-0123"
ISM-0125,What are some of the benefits of having a cybersecurity incident register?,Having a cybersecurity incident register can help organizations identify potential threats before they occur by tracking past incidents. It also helps with compliance requirements as it provides evidence for audits and investigations. ISM-0125
ISM-0125,	What are some ways in which organizations can develop a cybersecurity incident register?,Organizations can develop a cybersecurity incident register by creating a list of all possible threats or attacks on information systems and networks. This will help them identify potential vulnerabilities and take necessary steps to prevent such attacks from occurring. ISM-0125
ISM-0133,How can organizations respond to cybersecurity incidents?,Organizations need to have incident management plans in place so they know how to handle different types of attacks or breaches. They also need to ensure that all employees understand what constitutes a threat and how to report it if necessary. ISM-0133
ISM-0133,What should you do when a data spill occurs? ,"When a data spill occurs, data owners are advised and access to the data is restricted - ISM-0133"
ISM-0137,	What are some ways in which organizations can respond to cybersecurity incidents?,"Organizations can respond to cybersecurity incidents by taking appropriate actions such as identifying the source of attack, analyzing the impact of the incident, notifying relevant authorities, implementing necessary countermeasures, and recovering from any damage caused due to the incident ISM-0137"
ISM-0138,	What are some ways in which you can ensure the integrity of evidence collected from a computer system?,	The first step would be to record every action taken while collecting data or information from a computer system. This will help establish a clear chain of custody as well as provide proof if any discrepancies arise later on. It also helps to follow all instructions given by the appropriate authorities when handling such cases. ISM-0138
ISM-0140,How can organizations report cybersecurity incidents to the Australian Cyber Security Centre (ACSC)?,Organizations can report cybersecurity incidents to the ACSC by contacting them through email or phone call ISM-0140
ISM-0161,What should be done with unused IT equipment? ,"Unused IT equipment should be stored securely, such as locked cabinets or rooms - ISM-0161"
ISM-0164,How can we prevent unauthorized people from observing system displays and keyboards within our facility?,We can use privacy screens on monitors or partitions between desk areas to prevent unauthorized people from viewing computer displays. ISM-0164
ISM-0181,What are some of the requirements for cabling infrastructure?,"The cabling infrastructure must be installed according to relevant Australian standards, as directed by the Australian Communications and Media Authority ISM-0181"
ISM-0181,	What are some cabling infrastructure standards?,Some cabling infrastructure standards include ISM-0181 ISM-0181
ISM-0206,"	What should an organization do to develop, implement and maintain cable labelling processes and procedures?","An organization should ensure that all cables are labelled properly with clear identification information such as name, location, purpose etc. ISM-0206"
ISM-0206,How can you support cable labelling procedures?,"You can provide training on how to use equipment for labelling cables, as well as create documentation outlining best practices. ISM-0206"
ISM-0206,What are some examples of cable labelling processes?,"Examples include colour coding, barcode printing, and label placement. ISM-0206"
ISM-0208,What does a Cable Register contain?,A Cable Register contains the following for each cable: ISM-0208
ISM-0208,	What are the components of a cable register?,The components of a cable register include: ISM-0208
ISM-0211,	What are some ways in which you can develop a cable register?,"	To create a cable register, it's important to document all cables used by your company. This includes both active and passive cables. You also need to keep track of where each cable runs so that they can easily be found if needed. ISM-0211"
ISM-0211,What is a Cable Register?,A Cable Register is a document used for recording all cables installed within a facility or network infrastructure. ISM-0211
ISM-0232,	What are some ways in which telephone systems can protect conversations?,	One way in which telephone systems can protect conversations is by using encryption. Encryption ensures that only authorized parties have access to information being transmitted through the system ISM-0232
ISM-0232,What are telephone systems used for sensitive or classified conversations?,Telephone systems used for sensitive or classified conversations encrypt all traffic that passes over external systems ISM-0232
ISM-0233,What type of communication should cordless telephones be used for?,"Cordless telephones can only be used for non-sensitive, unclassified conversations ISM-0233"
ISM-0236,	What does off-hook audio protection feature do?,It protects sensitive information from being heard by unauthorized parties when the phone line is not in use ISM-0236
ISM-0236,What does off-hook audio protection feature do?,It protects sensitive and classified calls from being overheard by unauthorized parties ISM-0236
ISM-0240,What types of communication should be avoided when sending sensitive or classified data?,"Sensitive or classified data should never be sent using paging, multimedia message service (MMS), short message service (SMS) or any other type of messaging app ISM-0240"
ISM-0245,What does direct connection mean?,"Direct connection refers to a communication channel between two devices without any intermediate components, such as routers and switches ISM-0245"
ISM-0245,	What should an organization do to plan for cyber security risks and manage cyber security business risks within their organisation.?,"An organization must develop a comprehensive risk management program that includes policies, procedures, processes, and controls to identify, assess, mitigate, monitor, and communicate information security threats and vulnerabilities in order to minimize potential damage resulting from attacks on its IT infrastructure ISM-0245"
ISM-0246,	What are some examples of emanations security threats?,"	Some examples include electromagnetic radiation (EMR), radio frequency interference (RFI) and electrostatic discharge (ESD). ISM-0246"
ISM-0250,	What are some examples of emanations security threats?,"Examples include malicious software, viruses, worms, spyware, adware, ransomware, phishing attacks, denial of service (DoS) attacks, man in the middle attacks, social engineering attacks, etc ISM-0250"
ISM-0250,What does ICT stand for? ,Information Communication Technology - ISM-0250
ISM-0252,What are some of the topics covered during cybersecurity awareness training?,"Some of the topics covered include phishing, social engineering attacks, password management, data protection, physical security, etc ISM-0252"
ISM-0258,	What are some examples of web proxy policies?,"Examples include blocking access to social media sites during work hours or restricting access to certain websites based on content type (e.g., pornography). ISM-0258"
ISM-0258,What are some steps involved in developing a web usage policy?,"The first step involves identifying what type of policies need to be created for your organization's website. Next you should create a list of all the rules and regulations that will govern how users interact with the site. Then you can begin drafting the actual document itself by writing down each rule as clearly as possible so there is no confusion about what is expected from employees or visitors. Finally, once the policy has been written it needs to be reviewed by legal counsel before being finalized and distributed throughout the company ISM-0258"
ISM-0258,What are some steps involved in developing a web usage policy?,"The first step involves identifying what type of policies need to be created for your organization's website. Next you should create a list of all the rules and regulations that will govern how users interact with the site. Then you can begin drafting the actual document itself by writing down each rule as clearly as possible. Finally, once it has been written, reviewed, edited, and approved, implement the new policy on your website so everyone knows about it ISM-0258"
ISM-0260,	What does ISM-0260 mean in this context?,"It means all web access, including that by internal servers, is conducted through web proxies ISM-0260"
ISM-0260,What does web proxy mean?,A web proxy is used for controlling and monitoring all internet traffic on a network ISM-0260
ISM-0261,What kind of data does a proxy log?,"A proxy logs information about websites visited, including IP addresses and timestamps ISM-0261"
ISM-0261,	What information does a web proxy log when accessing a website?,"	The web proxy logs the address, date and time, user, amount of data uploaded and downloaded, as well as the internal and external IP addresses ISM-0261"
ISM-0263,	What does ISM-0263 refer to in this context?,	ISM-0263 refers to Internet Service Management standard number 0263 ISM-0263
ISM-0264,	What are some examples of policies in an email usage policy?,Examples of policies include rules on sending emails outside the company network or using personal devices to send work related emails ISM-0264
ISM-0264,What are some steps involved in developing an email usage policy?,"The first step involves identifying stakeholders who will be affected by the new policy. Next, you should conduct research on existing policies at other organizations. Then, create a draft of your proposed policy and circulate it for feedback from all relevant parties. Finally, implement the final version of the policy and monitor its effectiveness over time ISM-0264"
ISM-0267,How do I access my email? ,You can use your approved browser or mobile device to access your email account - ISM-0267
ISM-0267,How do I access my email? ,You can use your approved browser or mobile device to connect to our secure portal for accessing your emails - ISM-0267
ISM-0267,	What are some examples of approved webmail services?,"	Examples include Gmail, Yahoo Mail, Outlook, etc ISM-0267"
ISM-0270,What does Protective Marking mean? ,"Protective Marking refers to the application of security controls on email content such as confidentiality, integrity, availability, etc., based on its level of sensitivity or classification - ISM-0270"
ISM-0270,	What does ISM-0270 mean in terms of email protection?,	It means that the content of this message contains sensitive information which requires special handling ISM-0270
ISM-0271,How can you ensure your email contains appropriate protection marks when sending sensitive information over email?,You can use a tool such as ISM-0271 which will help you add proper protections to your message ISM-0271
ISM-0271,What are some of the features of protective marking tools?,"Protective marking tools allow users to add security labels and classification marks to documents, such as Confidential or Top Secret. ISM-0271"
ISM-0272,What are some examples of protective markings? ,"Examples include Confidential, Restricted and Secret. - ISM-0272"
