instruction,input,output
"In the ACSC ISM, What is control identitifer ISM-0714?",,A CISO is appointed to provide cyber security leadership and guidance for their organisation.
"In the ACSC ISM, What is control identitifer ISM-1478?",,"The CISO oversees their organisation’s cyber security program and ensures their organisation’s compliance with cyber security policy, standards, regulations and legislation."
"In the ACSC ISM, What is control identitifer ISM-1617?",,The CISO regularly reviews and updates their organisation’s cyber security program to ensure its relevance in addressing cyber threats and harnessing business and cyber security opportunities.
"In the ACSC ISM, What is control identitifer ISM-0724?",,The CISO implements cyber security measurement metrics and key performance indicators for their organisation.
"In the ACSC ISM, What is control identitifer ISM-0725?",,"The CISO coordinates cyber security and business alignment through a cyber security steering committee or advisory board, comprising of key cyber security and business executives, which meets formally and on a regular basis."
"In the ACSC ISM, What is control identitifer ISM-0726?",,The CISO coordinates security risk management activities between cyber security and business teams.
"In the ACSC ISM, What is control identitifer ISM-0718?",,The CISO reports directly to their organisation’s senior executive or Board on cyber security matters.
"In the ACSC ISM, What is control identitifer ISM-0733?",,The CISO is fully aware of all cyber security incidents within their organisation.
"In the ACSC ISM, What is control identitifer ISM-1618?",,The CISO oversees their organisation’s response to cyber security incidents.
"In the ACSC ISM, What is control identitifer ISM-0734?",,The CISO contributes to the development and maintenance of business continuity and disaster recovery plans for their organisation to ensure that business-critical services are supported appropriately in the event of a disaster.
"In the ACSC ISM, What is control identitifer ISM-0720?",,"The CISO develops, implements and maintains a cyber security communications strategy for their organisation."
"In the ACSC ISM, What is control identitifer ISM-0731?",,The CISO oversees cyber supply chain risk management activities for their organisation.
"In the ACSC ISM, What is control identitifer ISM-0732?",,The CISO receives and manages a dedicated cyber security budget for their organisation.
"In the ACSC ISM, What is control identitifer ISM-0717?",,The CISO oversees the management of cyber security personnel within their organisation.
"In the ACSC ISM, What is control identitifer ISM-0735?",,"The CISO oversees the development, implementation and maintenance of their organisation’s cyber security awareness training program."
"In the ACSC ISM, What is control identitifer ISM-1071?",,Each system has a designated system owner.
"In the ACSC ISM, What is control identitifer ISM-1525?",,System owners register each system with its authorising officer.
"In the ACSC ISM, What is control identitifer ISM-1633?",,"System owners determine the type, value and security objectives for each system based on an assessment of the impact if it were to be compromised."
"In the ACSC ISM, What is control identitifer ISM-1634?",,System owners select controls for each system and tailor them to achieve desired security objectives.
"In the ACSC ISM, What is control identitifer ISM-1635?",,System owners implement controls for each system and its operating environment.
"In the ACSC ISM, What is control identitifer ISM-1636?",,System owners ensure controls for each system and its operating environment are assessed to determine if they have been implemented correctly and are operating as intended.
"In the ACSC ISM, What is control identitifer ISM-0027?",,System owners obtain authorisation to operate each system from its authorising officer based on the acceptance of the security risks associated with its operation.
"In the ACSC ISM, What is control identitifer ISM-1526?",,"System owners monitor each system, and associated cyber threats, security risks and controls, on an ongoing basis."
"In the ACSC ISM, What is control identitifer ISM-1587?",,System owners report the security status of each system to its authorising officer at least annually.
"In the ACSC ISM, What is control identitifer ISM-0576?",,"An incident management policy, and associated incident response plan, is developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-1784?",,"The incident management policy, including the associated incident response plan, is exercised at least annually."
"In the ACSC ISM, What is control identitifer ISM-0125?",,"A cyber security incident register is developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-1803?",,"A cyber security incident register contains the following for each cyber security incident:
• the date the cyber security incident occurred
• the date the cyber security incident was discovered
• a description of the cyber security incident
• any actions taken in response to the cyber security incident
• to whom the cyber security incident was reported."
"In the ACSC ISM, What is control identitifer ISM-1625?",,"A trusted insider program is developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-1626?",,Legal advice is sought regarding the development and implementation of a trusted insider program.
"In the ACSC ISM, What is control identitifer ISM-0120?",,Cyber security personnel have access to sufficient data sources and tools to ensure that systems can be monitored for key indicators of compromise.
"In the ACSC ISM, What is control identitifer ISM-0123?",,"Cyber security incidents are reported to an organisation’s Chief Information Security Officer, or one of their delegates, as soon as possible after they occur or are discovered."
"In the ACSC ISM, What is control identitifer ISM-0140?",,Cyber security incidents are reported to the ACSC.
"In the ACSC ISM, What is control identitifer ISM-1819?",,"Following the identification of a cyber security incident, an organisation’s incident response plan is enacted."
"In the ACSC ISM, What is control identitifer ISM-0133?",,"When a data spill occurs, data owners are advised and access to the data is restricted."
"In the ACSC ISM, What is control identitifer ISM-0917?",,"When malicious code is detected, the following steps are taken to handle the infection:
• the infected systems are isolated
• all previously connected media used in the period leading up to the infection are scanned for signs of infection and isolated if necessary
• antivirus software is used to remove the infection from infected systems and media
• if the infection cannot be reliably removed, systems are restored from a known good backup or rebuilt."
"In the ACSC ISM, What is control identitifer ISM-0137?",,Legal advice is sought before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence.
"In the ACSC ISM, What is control identitifer ISM-1609?",,System owners are consulted before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence.
"In the ACSC ISM, What is control identitifer ISM-1731?",,Planning and coordination of intrusion remediation activities are conducted on a separate system to that which has been compromised.
"In the ACSC ISM, What is control identitifer ISM-1732?",,"To the extent possible, all intrusion remediation activities are conducted in a coordinated manner during the same planned outage."
"In the ACSC ISM, What is control identitifer ISM-1213?",,"Following intrusion remediation activities, full network traffic is captured for at least seven days and analysed to determine whether the adversary has been successfully removed from the system."
"In the ACSC ISM, What is control identitifer ISM-0138?",,"The integrity of evidence gathered during an investigation is maintained by investigators:
• recording all of their actions
• maintaining a proper chain of custody
• following all instructions provided by relevant law enforcement agencies."
"In the ACSC ISM, What is control identitifer ISM-1631?",,"Suppliers of applications, ICT equipment and services associated with systems are identified."
"In the ACSC ISM, What is control identitifer ISM-1452?",,"A supply chain risk assessment is performed for suppliers of applications, ICT equipment and services in order to assess the impact to a system’s security risk profile."
"In the ACSC ISM, What is control identitifer ISM-1567?",,Suppliers identified as high risk by a cyber supply chain risk assessment are not used.
"In the ACSC ISM, What is control identitifer ISM-1568?",,"Applications, ICT equipment and services are chosen from suppliers that have demonstrated a commitment to the security of their products and services."
"In the ACSC ISM, What is control identitifer ISM-1632?",,"Applications, ICT equipment and services are chosen from suppliers that have a strong track record of transparency and maintaining the security of their own systems and cyber supply chains."
"In the ACSC ISM, What is control identitifer ISM-1569?",,"A shared responsibility model is created, documented and shared between suppliers and their customers in order to articulate the security responsibilities of each party."
"In the ACSC ISM, What is control identitifer ISM-1785?",,"A supplier relationship management policy is developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-1786?",,"An approved supplier list is developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-1787?",,"Applications, ICT equipment and services are sourced from approved suppliers."
"In the ACSC ISM, What is control identitifer ISM-1788?",,"Multiple potential suppliers are identified for sourcing critical applications, ICT equipment and services."
