instruction,input,output
In the ACSC ISM What are some ways in which system owners can protect systems and their resources?,,"	System owners can ensure they have adequate protection by implementing appropriate controls such as access control, data encryption, auditing etc ISM-0027. System owners obtain authorisation to operate each system from its authorising officer based on the acceptance of the security risks associated with its operation."
In the ACSC ISM What are some key components of a cybersecurity strategy?,,"The main component of any cybersecurity strategy is having strong policies and procedures for data protection. ISM-0039. A cyber security strategy is developed, implemented and maintained."
In the ACSC ISM What are some examples of systems with a system security plan?,,"Examples include computer networks, software applications, websites, databases, etc ISM-0041. Systems have a system security plan that includes a description of the system and an annex that covers both applicable controls from this document and any additional controls that have been identified."
In the ACSC ISM What are some examples of system specific security documents?,,Examples include: ISM-0041. Systems have a system security plan that includes a description of the system and an annex that covers both applicable controls from this document and any additional controls that have been identified.
"In the ACSC ISM What should an organization do to develop, implement and maintain system administration processes and procedures?",,"An organization should ensure that all system administration processes and procedures are documented in detail and followed by all employees involved with system administration tasks. ISM-0042. System administration processes, and supporting system administration procedures, are developed, implemented and maintained."
In the ACSC ISM What are some examples of system administration processes?,,"Examples include configuration management, change control, backup/recovery, security monitoring, etc - ISM-0042. System administration processes, and supporting system administration procedures, are developed, implemented and maintained."
In the ACSC ISM What are some examples of system administration processes?,,"Examples include configuration management, change control, backup/recovery, security monitoring, incident handling, etc - ISM-0042. System administration processes, and supporting system administration procedures, are developed, implemented and maintained."
In the ACSC ISM What are some examples of system administration processes?,,"Examples include configuring servers, managing user accounts, maintaining security policies, monitoring performance, etc - ISM-0042. System administration processes, and supporting system administration procedures, are developed, implemented and maintained."
In the ACSC ISM What are the responsibilities of the CISO and SAO?,,"The Chief Information Security Officer (CISO) approves organisational-level security documents, such as policies or standards, whereas the System Authorizing Officer (SAO) approves system-specific security documents, such as procedures or guidelines ISM-0047. Organisational-level security documentation is approved by the Chief Information Security Officer while system-specific security documentation is approved by the system’s authorising officer."
In the ACSC ISM What are some examples of organisational level security documents?,,Examples include: ISM-0047. Organisational-level security documentation is approved by the Chief Information Security Officer while system-specific security documentation is approved by the system’s authorising officer.
In the ACSC ISM What security measures should be taken when outsourcing?,,"When outsourcing services, it's important to have clear documentation about what security controls need to be implemented by your provider. These include ensuring that all data remains securely stored and protected from unauthorized access or modification, as well as having appropriate backup procedures in place so you can recover lost data if necessary. ISM-0072. Security requirements associated with the confidentiality, integrity and availability of data are documented in contractual arrangements with service providers and reviewed on a regular and ongoing basis to ensure they remain fit for purpose."
In the ACSC ISM What does ISM stand for in this context?,,The acronym 'ISM' stands for Information Security Management ISM-0100. Gateways undergo a security assessment by an IRAP assessor at least every 24 months.
In the ACSC ISM What does timely mean?,,"Timely means occurring or done at the right time, without delay - ISM-0109. Event logs are analysed in a timely manner to detect cyber security events."
In the ACSC ISM How does one identify if there are any vulnerabilities in the system?,,One way to identify potential vulnerabilities in the system is by using penetration testing techniques such as scanning or exploitation ISM-0120. Cyber security personnel have access to sufficient data sources and tools to ensure that systems can be monitored for key indicators of compromise.
In the ACSC ISM What are some key indicators of compromise?,,"Key indicators of compromise include unusual network traffic, unauthorized user activity, suspicious files or processes on computers, and other anomalies - ISM-0120. Cyber security personnel have access to sufficient data sources and tools to ensure that systems can be monitored for key indicators of compromise."
In the ACSC ISM What should be done when cybersecurity incident occurs?,,"When a cybersecurity incident occurs, it must be reported immediately to the organization's chief information security officer (CISO) or delegate for investigation and remediation ISM-0123. Cyber security incidents are reported to an organisation’s Chief Information Security Officer, or one of their delegates, as soon as possible after they occur or are discovered."
In the ACSC ISM What are some of the benefits of having a cybersecurity incident register?,,"Having a cybersecurity incident register can help organizations identify potential threats before they occur by tracking past incidents. It also helps with compliance requirements as it provides evidence for audits and investigations. ISM-0125. A cyber security incident register is developed, implemented and maintained."
